Nombre	Provincia	Cuenta Individual	Latitud	Longitud	day	month	year
Ara macao	Alajuela	4	10.6767	-84.2238	8	10	2023
Ara macao	Alajuela	4	10.420356	-84.38283	15	12	2023
Ara macao	Alajuela	2	10.70864	-84.18259	6	6	2023
Ara macao	Alajuela	2	9.931434	-84.52236	12	6	2023
Ara macao	Alajuela	4	9.913765	-84.56686	7	12	2023
Ara macao	Alajuela	4	10.68515	-84.18112	13	10	2023
Ara macao	Alajuela	2	9.857621	-84.57664	24	10	2023
Ara macao	Alajuela	2	9.913765	-84.56686	16	3	2023
Ara macao	Alajuela	2	10.308829	-84.58947	21	5	2023
Ara macao	Alajuela	2	10.392482	-84.40955	31	12	2023
Ara macao	Alajuela	1	10.686364	-84.20616	21	12	2023
Ara macao	Alajuela	1	10.384701	-84.59176	20	12	2023
Ara macao	Alajuela	2	10.711517	-84.206795	1	5	2023
Ara macao	Alajuela	2	10.68515	-84.18112	17	5	2016
Ara macao	Alajuela	2	10.685005	-84.193	25	11	2023
Ara macao	Alajuela	2	10.686364	-84.20616	13	5	2023
Ara macao	Alajuela	2	10.686364	-84.20616	7	6	2023
Ara macao	Alajuela	2	9.921268	-84.51464	13	5	2023
Ara macao	Alajuela	5	10.679152	-84.20479	19	3	2023
Ara macao	Alajuela	7	10.68515	-84.18112	2	12	2023
Ara macao	Alajuela	4	10.68515	-84.18112	18	11	2023
Ara macao	Alajuela	4	10.686364	-84.20616	4	12	2023
Ara macao	Alajuela	2	10.710201	-84.1778	18	11	2023
Ara macao	Alajuela	2	9.923074	-84.39332	17	12	2023
Ara macao	Alajuela	1	10.356112	-84.51478	27	11	2023
Ara macao	Alajuela	6	10.686364	-84.20616	7	11	2023
Ara macao	Alajuela	7	10.68515	-84.18112	20	12	2023
Ara macao	Alajuela	12	10.68515	-84.18112	16	12	2023
Ara macao	Alajuela	1	9.913765	-84.56686	18	2	2023
Ara macao	Alajuela	2	10.686364	-84.20616	18	12	2023
Ara macao	Alajuela	8	10.672686	-84.23874	16	4	2023
Ara macao	Alajuela	4	10.686364	-84.20616	30	4	2023
Ara macao	Alajuela	8	9.841605	-84.558075	13	5	2023
Ara macao	Alajuela	3	10.342261	-84.433754	26	12	2023
Ara macao	Alajuela	2	10.630335	-84.26672	5	5	2023
Ara macao	Alajuela	3	10.356112	-84.51478	9	11	2023
Ara macao	Alajuela	3	10.68515	-84.18112	22	12	2023
Ara macao	Alajuela	1	10.350464	-84.43221	31	12	2023
Ara macao	Alajuela	2	10.686364	-84.20616	29	12	2023
Ara macao	Alajuela	2	10.68515	-84.18112	11	12	2023
Ara macao	Alajuela	6	10.7288	-84.20236	15	12	2023
Ara macao	Alajuela	2	10.356876	-84.220604	16	12	2023
Ara macao	Alajuela	3	10.686364	-84.20616	27	12	2023
Ara macao	Alajuela	3	9.932425	-84.38173	14	12	2023
Ara macao	Alajuela	3	10.428144	-84.51827	13	3	2023
Ara macao	Alajuela	2	10.356112	-84.51478	11	12	2023
Ara macao	Alajuela	3	10.676374	-84.23306	27	11	2023
